"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10"
"eye-X1",0,0.109400698814219,0,0,0,0,0,0,0,0
"eye-X2",0.00113010850261844,0,3.68712162540313e-05,0,0.00077191980631806,0.00286605237773612,0.00174044798570158,0.000840762155947232,0.0239737177038562,0
"eye-X3",0,0.000484627477687567,0.00120732953909184,0,0,0,0,0,0.166521088743632,0
"eye-X4",0,0.000923970753282515,0,0.000430022235174468,0,0,0.00907627752238433,0,0.0409147250822148,0
"eye-X5",0.000162957900894562,0,0,1.90177973634434e-05,4.05831479352447e-05,0,0.000473918003234124,0,0.00157742166912826,0.000144817889341951
"eye-X6",0.05351864563516,0,0,0.00251328380312968,0,0,0,0,0,0
"eye-X7",0.0431240735076571,0,0.0106515744550888,0,0,0,0,0.00981496840968796,0.00759323983819608,0.0106814246509888
"eye-X8",0.0535329000953357,0,0,0.00168348859964182,0,0,0,0.00261645898991535,0,0.00306087068817204
"eye-X9",0.0495057098741886,0,0,0.00367465791245489,0,0,0,0.00295648887819672,0.00391971426174716,0.00484534567606984
"eye-X10",0,0,0,0,0,0.0582778354688356,0,0,0,0.0283483340242954
"eye-X11",0.00093896760886436,0.000137066409271408,0.00211128206282978,0,0,0.0850043761544791,0,0.00129730041608886,0.000700068520021468,0
"eye-X12",0.000972632000063606,0.000211864480558955,0,0.000840278894405285,0.000543777894377338,0.0816678926198783,0,0.000598191258740676,0.000135977012131228,0
"eye-X13",0,0,0,0.0025788017686936,0,0,0,0.0894051871279554,0,0
"eye-X14",0,0,0,0.000180279422579816,0.0935548467811124,0,0,0,0,0
"eye-X15",0.00100168410422773,0.0018903546821011,0.143961437200772,0,0,0,4.11281493847066e-05,0.00111436657753913,0.000396358512067713,0.00129696535383721
"eye-X16",0.000128099038897601,0,0.0316174757998341,0.00383238720600788,0,0.00118694968397099,0,0.00177458899230205,0.00158199568621489,0
"eye-X17",0,0,0.0959721362194227,0.0195188288153633,0,0,0,0,0,0
"eye-X18",0.000568855492726081,0,0.0275183788015937,0.000664893467699324,0,0.000684162486245029,0,0.00209903897269145,0.00177345179961383,0.000951057945648964
"eye-X19",0,0,0.0137599390122755,0.0195227217540635,0.00699991994584452,0,0,0,0,0.00337456271830877
"c2-X1",0,0.000124807562645524,0,0,0,0,0.145657647079151,0,0,0
"c2-X2",0.0431637492060639,0.0034047502936213,0.00657176149318213,0,0,0,0,0.00162871225840319,0,0.00361670044757957
"c2-X3",0.0354727229976043,0.00354988487623418,0,0,0.00059805941846624,0.00133284903384317,0,0,0,0
"c2-X4",0.0117570365917294,0.000802453255944568,0,0,0,0,0,0,0,0
"c2-X5",0.023694654141972,0.00170957125911921,0,0,0.000659242568469173,0.000267231239838295,0,0,0.00780114125701062,0
"c2-X6",0.0632149256764041,0.00610313284753351,0,0,0.00235107774493315,0.00138178823459167,0,0,0,0
"c2-X7",0,0.00112697620018633,0,0,0,0.0445459659557272,0.000555696742071056,0,0,0.00583366717677025
"c2-X8",0,0.000983838021873081,0,0,0,0,0,0,0,0.124591506681651
"c2-X9",0.000596749928885937,0.00387464262082775,0,0,0.0176116430784963,0,0,0.0214062382786273,0,0
"c2-X10",0.000560553586763832,0.00291519942979005,0,0,0.0191130369993094,0,0.00142175292396477,0.0501341128287606,0,0.00110292900460061
"c2-X11",0,0.00740171234544344,0,0,0.0487084915824648,0.00089018364178655,0,0.0554119645298089,0,0
"c2-X12",0.00146562130338858,0.00497435584726127,0.000324532227461723,0.0343924101576122,0.00168604826442031,0.00130179188146065,0.00171360905059402,0.00186656634136196,0,0.00197628364617539
"c2-X13",0.00144546630567226,0.00647705162639035,0,0.0422625790757473,0,0.00167458264306227,0.000817002074917052,0.00272428424011797,0,0.00144002338760819
"c2-X14",0.00155475332480814,0.00860716735362675,0,0.0474937317476349,0.00019077418873931,0.00048501097286825,0.00036010146615794,0.00275675092581241,0,0.00244790568939802
"c2-X15",0.00169986443018031,0.00797076836403128,0,0.0461997250710847,0,0.000966504353483146,0.00108187472906656,0.00234768326501245,0,0.00180438493810697
"c2-X16",0,0.00726893611970471,0,0.0443659296502994,0,0,0,0,0,0
